candidate_id,education,experience,python,sql,excel,power_bi,statistics,machine_learning,tableau,communication,git,data_visualization,projects,internships,certifications,target_role,readiness_score,readiness_category,job_selected
C0001,BCA,2,1,1,0,0,0,1,1,1,0,1,3,1,1,Python Developer,57.58,Needs Improvement,0
C0002,MCA,0,1,0,0,1,1,0,1,0,0,1,3,2,3,Data Analyst,55.01,Needs Improvement,0
C0003,B.Sc,1,1,1,0,1,1,1,0,0,0,1,3,0,2,Data Analyst,51.91,Not Ready,0
C0004,BCA,0,1,1,0,1,0,1,1,1,1,1,5,2,3,Data Analyst,71.62,Needs Improvement,1
C0005,M.Tech,0,1,0,1,1,0,1,0,1,0,1,0,2,2,Business Analyst,47.77,Not Ready,1
C0006,B.Tech,1,1,1,1,1,1,1,1,0,1,1,4,2,3,Business Analyst,77.83,Ready,1
C0007,B.Sc,0,0,1,1,1,1,1,1,1,0,0,0,0,3,ML Engineer,52.95,Not Ready,1
C0008,MCA,0,0,1,1,1,1,1,0,0,1,0,3,1,2,Data Scientist,45.22,Not Ready,0
C0009,BCA,0,1,0,1,0,1,0,0,1,1,1,1,2,2,Data Analyst,50.02,Not Ready,1
C0010,BCA,0,1,1,0,1,0,0,0,1,1,0,4,0,0,Business Analyst,34.29,Not Ready,0
C0011,M.Tech,0,1,1,0,1,1,0,1,1,1,1,2,2,0,Data Analyst,62.85,Needs Improvement,1
C0012,BCA,0,1,1,0,0,1,1,0,0,1,1,1,0,2,Python Developer,39.34,Not Ready,0
C0013,B.Tech,0,1,1,0,1,1,1,1,0,0,1,4,2,0,Data Analyst,57.91,Needs Improvement,0
C0014,B.Sc,1,1,1,1,1,1,1,1,1,1,1,0,2,0,ML Engineer,74.27,Needs Improvement,1
C0015,B.E,0,1,1,1,0,1,0,0,1,1,1,0,0,3,Business Analyst,46.15,Not Ready,1
C0016,B.Sc,0,0,1,1,1,1,1,1,1,1,1,3,0,2,Python Developer,66.08,Needs Improvement,1
C0017,B.Sc,1,0,1,1,0,1,1,1,0,1,1,3,0,3,ML Engineer,55.09,Needs Improvement,0
C0018,MCA,0,0,1,1,1,1,1,0,0,1,1,2,1,1,Data Scientist,44.98,Not Ready,0
C0019,B.Tech,1,0,1,1,0,1,0,1,0,0,1,3,0,3,Business Analyst,49.54,Not Ready,0
C0020,BCA,0,1,1,0,0,1,1,1,0,0,0,2,0,0,ML Engineer,31.91,Not Ready,1
C0021,BCA,0,1,0,0,1,1,1,1,1,1,0,0,2,2,Python Developer,56.63,Needs Improvement,0
C0022,B.E,0,0,1,1,1,1,0,0,0,1,1,4,0,0,ML Engineer,44.6,Not Ready,1
C0023,MCA,0,1,0,1,1,0,0,0,0,1,1,3,1,1,ML Engineer,45.03,Not Ready,0
C0024,BCA,0,1,1,1,1,0,1,1,1,1,1,3,2,1,Data Analyst,62.88,Needs Improvement,1
C0025,BCA,0,1,1,1,1,1,1,1,1,1,1,3,0,4,Python Developer,83.44,Ready,0
C0026,M.Tech,0,0,1,0,0,1,0,1,0,0,1,4,2,4,Python Developer,53.18,Not Ready,1
C0027,B.Tech,1,0,0,1,1,1,1,1,1,0,1,4,0,4,Data Analyst,68.99,Needs Improvement,1
C0028,B.Sc,0,1,1,1,0,1,1,0,1,0,0,5,2,3,Business Analyst,61.32,Needs Improvement,0
C0029,B.E,0,1,0,0,1,1,1,1,0,1,0,1,0,2,ML Engineer,42.54,Not Ready,1
C0030,B.Sc,1,1,1,1,1,1,1,0,1,1,0,4,0,2,ML Engineer,59.49,Needs Improvement,1
C0031,B.Tech,1,0,1,1,1,1,1,1,1,0,0,5,2,4,ML Engineer,80.76,Ready,0
C0032,B.E,0,0,0,0,1,1,1,1,1,0,1,5,0,1,Python Developer,48.72,Not Ready,1
C0033,MCA,2,0,1,1,1,0,1,1,1,1,1,0,0,2,Data Analyst,59.15,Needs Improvement,1
C0034,B.Sc,0,1,1,1,1,0,0,1,1,1,0,0,2,0,Data Analyst,51.99,Not Ready,1
C0035,B.Tech,0,1,0,0,0,1,1,1,1,0,1,2,0,4,Data Analyst,42.84,Not Ready,0
C0036,M.Tech,1,1,0,1,1,1,1,1,1,1,0,5,0,4,ML Engineer,70.58,Needs Improvement,1
C0037,M.Tech,2,1,1,1,1,0,0,0,0,0,1,1,2,1,Data Scientist,55.29,Needs Improvement,1
C0038,B.E,0,1,0,1,1,0,1,1,1,1,1,5,1,2,Business Analyst,79.49,Ready,1
C0039,M.Tech,0,1,1,1,1,0,1,1,1,1,0,1,2,0,ML Engineer,56.31,Needs Improvement,1
C0040,MCA,0,1,1,0,1,1,1,0,1,0,0,0,2,2,Python Developer,50.96,Not Ready,0
C0041,BCA,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Python Developer,15.97,Not Ready,0
C0042,B.E,1,0,0,0,0,1,1,1,0,1,0,3,0,0,Business Analyst,45.71,Not Ready,0
C0043,MCA,2,1,1,0,1,1,1,0,0,0,1,5,2,3,ML Engineer,66.76,Needs Improvement,1
C0044,B.E,0,1,0,0,1,0,0,0,0,0,1,3,0,3,Data Scientist,33.47,Not Ready,0
C0045,B.Sc,0,1,1,1,1,1,1,1,0,1,1,2,2,4,ML Engineer,67.37,Needs Improvement,1
C0046,B.Tech,0,0,0,0,0,0,0,0,1,0,1,4,2,1,Python Developer,22.97,Not Ready,1
C0047,BCA,2,0,1,1,1,1,1,1,1,1,0,1,1,3,Business Analyst,70.99,Needs Improvement,0
C0048,BCA,0,0,0,1,0,1,0,1,1,0,0,1,0,1,Python Developer,28.2,Not Ready,0
C0049,B.E,0,1,0,1,1,1,1,1,0,1,1,3,1,4,Business Analyst,66.58,Needs Improvement,0
C0050,B.Tech,0,1,1,1,0,1,1,1,1,1,0,2,2,1,Python Developer,61.97,Needs Improvement,0
C0051,B.Tech,1,1,1,1,1,1,0,1,1,0,1,1,1,4,Business Analyst,82.49,Ready,1
C0052,B.Sc,0,0,1,1,0,1,1,1,1,1,1,4,0,2,Data Analyst,59.71,Needs Improvement,1
C0053,M.Tech,0,1,1,1,0,1,1,1,1,1,1,4,2,3,Python Developer,81.55,Ready,1
C0054,MCA,1,1,1,1,0,0,0,1,1,1,1,5,2,3,Data Scientist,72.75,Needs Improvement,1
C0055,MCA,0,0,0,1,1,0,1,1,0,1,1,1,0,2,ML Engineer,42.48,Not Ready,0
C0056,M.Tech,2,1,1,0,1,1,0,1,1,1,1,4,2,0,ML Engineer,74.81,Needs Improvement,0
C0057,B.Tech,0,1,1,0,1,1,1,1,1,1,1,2,2,2,Data Analyst,68.45,Needs Improvement,0
C0058,BCA,0,1,1,1,1,0,1,0,1,0,1,3,2,4,Data Analyst,76.59,Ready,1
C0059,B.Tech,0,1,1,1,0,1,1,1,1,1,0,2,2,1,Data Scientist,68.39,Needs Improvement,0
C0060,M.Tech,0,1,1,0,0,1,1,1,0,1,1,3,1,4,Data Analyst,63.18,Needs Improvement,0
C0061,B.Tech,0,0,1,0,0,1,0,1,0,0,0,5,1,2,Python Developer,29.98,Not Ready,0
C0062,BCA,1,0,0,1,0,0,0,0,0,1,1,1,0,4,Python Developer,32.69,Not Ready,1
C0063,B.Sc,0,1,1,0,1,1,1,1,0,1,1,0,1,2,Data Analyst,67.52,Needs Improvement,1
C0064,B.E,0,0,1,1,0,0,1,1,1,0,0,2,1,1,ML Engineer,39.85,Not Ready,1
C0065,B.E,0,0,1,1,1,0,0,0,1,1,1,3,0,0,ML Engineer,47.52,Not Ready,1
C0066,B.E,2,1,1,1,0,0,1,0,1,0,1,2,0,2,Business Analyst,61.21,Needs Improvement,1
C0067,M.Tech,0,1,1,1,0,0,0,1,0,1,1,1,0,1,Data Scientist,39.59,Not Ready,1
C0068,MCA,0,1,1,1,1,1,0,0,0,1,0,3,2,4,Python Developer,57.79,Needs Improvement,1
C0069,B.Sc,2,0,1,1,0,1,1,1,1,1,1,5,0,1,Data Analyst,59.32,Needs Improvement,0
C0070,BCA,0,1,1,0,1,1,0,1,1,0,1,0,2,1,Business Analyst,54.42,Not Ready,1
C0071,MCA,0,1,1,0,1,0,1,0,0,0,1,1,2,3,Data Analyst,43.93,Not Ready,0
C0072,BCA,1,0,1,1,1,0,0,1,0,1,1,2,2,3,ML Engineer,62.38,Needs Improvement,0
C0073,M.Tech,0,0,1,1,0,1,0,0,1,1,0,4,1,1,Python Developer,40.75,Not Ready,1
C0074,B.E,0,0,0,1,1,1,1,0,1,1,0,5,2,2,ML Engineer,61.67,Needs Improvement,0
C0075,B.E,0,1,0,1,1,1,1,0,0,0,0,2,1,4,ML Engineer,48.67,Not Ready,0
C0076,M.Tech,2,1,1,1,0,1,1,1,0,1,0,4,2,0,Data Analyst,71.84,Needs Improvement,1
C0077,BCA,0,0,1,0,0,1,1,1,1,1,1,2,1,3,Business Analyst,51.43,Not Ready,0
C0078,MCA,0,1,1,0,1,1,0,1,1,1,1,1,2,4,ML Engineer,72.98,Needs Improvement,1
C0079,B.Tech,1,1,1,1,1,1,1,1,1,1,1,4,2,4,Data Scientist,89.02,Ready,1
C0080,B.Tech,0,1,0,0,1,0,1,1,1,0,0,5,2,0,Data Analyst,44.13,Not Ready,1
C0081,B.Tech,0,1,0,1,0,0,0,1,1,1,0,4,0,3,Python Developer,46.45,Not Ready,0
C0082,BCA,0,0,1,0,1,0,1,0,1,1,1,3,2,2,Python Developer,57.17,Needs Improvement,1
C0083,MCA,0,0,1,1,1,0,0,0,1,1,0,0,2,4,ML Engineer,48.3,Not Ready,0
C0084,B.Sc,0,0,1,1,0,1,0,1,1,1,1,5,2,0,ML Engineer,70.31,Needs Improvement,1
C0085,B.Sc,0,0,1,1,0,1,1,1,1,1,0,0,0,4,ML Engineer,47.32,Not Ready,0
C0086,B.Sc,1,1,1,0,0,1,1,1,1,0,0,3,0,0,Python Developer,46.4,Not Ready,0
C0087,M.Tech,0,0,1,0,1,0,0,1,1,1,0,4,0,0,Python Developer,33.98,Not Ready,0
C0088,M.Tech,2,1,1,0,0,1,0,1,0,0,1,1,0,1,Data Analyst,47.1,Not Ready,0
C0089,B.Tech,1,0,1,1,0,1,0,1,1,0,1,2,0,2,Business Analyst,49.92,Not Ready,1
C0090,M.Tech,0,1,1,0,1,1,1,1,1,1,1,3,1,1,Data Scientist,63.9,Needs Improvement,0
C0091,B.Sc,0,0,1,1,1,1,1,1,0,1,1,4,2,4,Business Analyst,66.48,Needs Improvement,1
